date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20150304T,CNX Nifty,420,1082,9109.15,9119.2,8893.95,8922.65,13370.83,9603407.0,49,11,882209,103560,605544,366952,591029,261659,422547,1530326,24493,29348,23820,15371,11361,73620,240533.0,0,77880,0,20424,305151.0,0,64,0,0,52367,80033,283457.0,429101.0,400389.0,555728.0,183960.0,154604.0,47160,107212,44737,46232
20150305T,CNX Nifty,729,760,8929.4,8957.55,8849.35,8937.75,9476.8,7737486.0,32,11,870663,95017,590186,370098,609455,257885,422602,1535535,24558,30376,25152,15592,11632,73860,241328.0,0,60565,0,20590,311955.0,0,64,0,0,53601,72088,279509.0,443747.0,398333.0,542183.0,192006.0,160638.0,48802,115419,45468,47526
20150309T,CNX Nifty,446,1067,8891.15,8891.3,8740.45,8756.75,9068.47,7926911.0,32,18,809271,112729,567779,377728,764369,244789,421810,1530213,25363,31539,25279,16468,10720,63960,241312.0,0,59865,0,20590,313703.0,0,67,0,0,56324,76866,283297.0,559937.0,387771.0,533243.0,201575.0,160746.0,46746,130443,49917,47975
20150310T,CNX Nifty,610,912,8769.75,8778.0,8677.35,8712.05,9051.24,7872852.0,40,15,789000,126596,531710,383368,808069,243792,425427,1523221,24674,31577,25236,16342,10720,56550,243512.0,0,61465,0,20655,312682.0,0,81,0,0,54328,75007,285952.0,606711.0,411462.0,551471.0,207735.0,174369.0,48407,137908,50024,48646
20150311T,CNX Nifty,545,959,8728.75,8755.6,8682.35,8699.95,8903.36,7483787.0,23,16,796594,120625,514540,400062,837821,233307,432050,1539705,25075,32163,24920,17121,10710,53790,244167.0,0,61485,0,20641,321391.0,0,20,0,0,58716,74189,291764.0,606492.0,425997.0,585550.0,217537.0,189641.0,49003,147218,50803,51364
20150312T,CNX Nifty,923,569,8740.65,8787.2,8732.9,8776.0,9479.5,7993538.0,26,17,797065,115352,521875,413390,853055,229450,442766,1552457,25841,32562,26628,18324,11615,53414,244167.0,0,45225,0,20757,324649.0,0,0,0,0,62011,74036,282204.0,583936.0,432559.0,597583.0,224995.0,191639.0,50948,150551,49661,55105
20150313T,CNX Nifty,362,1167,8844.05,8849.75,8631.75,8647.75,9479.14,8210442.0,29,20,795379,122024,551863,422676,914365,241727,459856,1539409,26309,34724,25757,17629,15912,51125,246167.0,0,45765,0,19832,322613.0,0,0,0,0,60595,85329,280682.0,656602.0,455362.0,602821.0,227049.0,195091.0,48255,162836,52899,53169
20150316T,CNX Nifty,451,1078,8656.75,8663.55,8612.0,8633.15,7386.41,6802734.0,10,39,787795,122425,540156,465797,935720,246254,471832,1542145,26594,35042,26405,19301,16131,48800,247411.0,0,45265,0,19835,327517.0,0,5,0,0,63797,82518,279129.0,643014.0,415523.0,571422.0,232528.0,203940.0,49838,168591,53788,55029
20150317T,CNX Nifty,795,716,8689.1,8742.55,8630.8,8723.3,8381.94,7604442.0,26,32,766598,123033,563960,483379,956924,239514,486202,1528884,25992,34090,26423,19234,18031,48565,247411.0,0,42990,0,20135,329794.0,0,5,0,0,68831,82886,335764.0,659376.0,387651.0,571364.0,228547.0,200944.0,51266,167811,51991,57901
20150319T,CNX Nifty,502,987,8749.45,8788.2,8614.65,8634.65,8575.44,7303934.0,24,25,751242,128970,638013,534511,989898,263887,515128,1499038,25197,34460,24779,20262,21236,48722,247571.0,0,45205,0,22548,332792.0,0,17,0,0,57527,101784,338060.0,726968.0,445910.0,613663.0,235777.0,201474.0,50968,171226,53010,57564
20150320T,CNX Nifty,314,1222,8627.9,8627.9,8553.0,8570.9,9709.31,8252316.0,11,47,742374,146167,611824,543432,982946,281466,517165,1502869,25982,37097,24449,20718,23555,46722,248028.0,0,44431,0,22383,335531.0,0,26,0,0,68927,81208,304258.0,730228.0,429840.0,564373.0,241704.0,215824.0,51704,182096,53602,56579
20150323T,CNX Nifty,414,1108,8591.55,8608.35,8540.55,8550.9,7316.22,6562001.0,8,57,728790,150544,607184,558482,985115,272763,523469,1512685,25443,38286,24730,22026,19383,42837,250194.0,0,44417,0,24414,343277.0,0,33,0,0,78007,74188,317019.0,780643.0,450700.0,588463.0,255053.0,231278.0,53404,188621,54544,58590
20150324T,CNX Nifty,558,937,8537.05,8627.75,8535.85,8542.95,7179.71,6409751.0,13,42,772775,166978,632334,562225,974530,267801,537882,1536893,24425,35790,22972,20732,20975,42720,251232.0,0,44182,0,26409,347241.0,0,40,0,0,92919,85962,319160.0,760724.0,471789.0,650008.0,260625.0,246846.0,56904,190317,55229,62777
20150325T,CNX Nifty,508,993,8568.9,8573.75,8516.55,8530.8,7294.66,6841206.0,8,46,726591,185128,658261,568336,1027773,276147,535599,1538005,24487,35505,22844,20226,20849,42727,251312.0,0,42682,0,21593,347650.0,0,43,0,0,107126,83684,297293.0,808142.0,499740.0,696487.0,253690.0,231540.0,57113,196481,58569,63881
20150326T,CNX Nifty,454,1057,8474.95,8499.45,8325.35,8342.15,9479.94,7452124.0,5,50,515143,146135,456239,371796,606437,96568,439468,1395401,2296,282,88,1388,8432,38336,290019.0,0,1320,0,9069,336027.0,0,0,0,0,135343,66347,206814.0,410670.0,342071.0,292589.0,187398.0,133625.0,17316,47122,30024,15995
20150327T,CNX Nifty,585,927,8396.0,8413.2,8269.15,8341.4,8538.09,7672027.0,2,67,502684,126124,568860,412439,720061,123160,445311,1401340,10325,10315,7943,7919,9232,34336,293723.0,0,1320,0,9113,346671.0,0,45,0,0,111581,73500,210122.0,438317.0,308991.0,315958.0,194368.0,138567.0,23023,58763,33690,22010
20150330T,CNX Nifty,1235,272,8390.95,8504.55,8380.75,8492.3,7757.43,6457495.0,12,35,489972,129460,637436,406789,721859,134408,459452,1389373,12231,13061,10467,9655,8798,33836,297237.0,0,800,0,9302,349609.0,0,69,0,0,97292,75516,239220.0,446859.0,311372.0,392689.0,194590.0,139392.0,29385,62897,35209,26736
20150331T,CNX Nifty,868,617,8527.6,8550.45,8454.15,8491.0,9062.04,8146488.0,30,21,511549,130142,656043,389658,725567,145208,472745,1382013,14071,15197,11255,9921,14040,41901,297859.0,0,800,0,9302,349178.0,0,55,0,0,72069,72862,252908.0,456196.0,283346.0,387021.0,193867.0,133387.0,31860,69563,35919,28151
20150406T,CNX Nifty,1071,453,8615.8,8667.55,8573.75,8659.9,8746.92,7091701.0,58,8,500665,144034,759833,389297,841780,251796,479532,1367254,17315,17251,14559,11461,14040,49901,297739.0,0,320,0,9772,340673.0,0,51,0,0,61936,66136,292137.0,494635.0,356867.0,532262.0,203009.0,133203.0,42857,78073,37957,39100
20150407T,CNX Nifty,926,606,8684.45,8693.6,8586.85,8660.3,9876.52,7701592.0,56,7,508141,154408,772882,387508,882551,265459,479266,1359897,18875,18792,16125,12004,14061,55373,296895.0,0,1530,0,10668,338940.0,0,51,0,0,65036,66914,294995.0,506287.0,359334.0,566453.0,204357.0,141423.0,44775,87363,39114,42883
20150409T,CNX Nifty,805,722,8756.2,8785.5,8682.45,8778.3,10145.67,8283731.0,56,15,554670,137623,807289,393313,877249,259008,476324,1367445,25013,20725,17481,15530,14698,57781,298015.0,0,4720,0,14398,331938.0,0,60,0,0,60585,85096,334885.0,493088.0,362534.0,694366.0,210910.0,149092.0,53243,97247,42118,53104
20150410T,CNX Nifty,955,578,8774.35,8787.4,8733.6,8780.35,9328.91,8387662.0,51,8,555284,141917,826803,396687,901127,272027,469083,1368498,27815,22422,19785,15736,15388,61781,298015.0,0,4400,0,14274,328462.0,0,60,0,0,60354,79710,332278.0,481842.0,379223.0,713819.0,214029.0,149605.0,57350,103927,42599,58465
20150415T,CNX Nifty,646,884,8844.75,8844.8,8722.4,8750.2,10377.28,8875505.0,60,13,586931,144314,858149,438691,922029,284305,474260,1369305,32271,27381,21556,18615,18189,61781,298729.0,0,9200,0,16037,328153.0,635,65,0,0,49171,91806,340143.0,504734.0,416030.0,737383.0,219263.0,157309.0,61328,119531,46417,66539
20150416T,CNX Nifty,490,1029,8757.05,8760.0,8645.65,8706.7,8462.97,7843158.0,27,9,583502,184835,864304,434632,1024697,282840,480343,1384067,32928,28342,22033,19397,21909,57020,298829.0,0,5600,0,17429,327985.0,690,56,0,0,45763,73689,321090.0,550104.0,418562.0,712597.0,223129.0,156953.0,62097,134362,51627,69155
20150417T,CNX Nifty,482,1046,8698.05,8699.85,8596.7,8606.0,7072.46,7568605.0,29,12,606683,184619,877295,453241,1071605,307532,475153,1402959,33030,31588,21320,18239,22980,57580,300250.0,0,7400,0,19140,335467.0,690,43,0,0,64007,75342,321282.0,643398.0,447243.0,694708.0,226593.0,163290.0,62222,150050,53663,68069
