date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low
2017-03-07,Nifty 50,679,970,8977.75,8977.85,8932.80,8946.90,9453.05,7288818.0,36,17
2017-03-08,Nifty 50,523,1132,8950.70,8957.05,8891.95,8924.30,10144.7,7686539.0,33,22
2017-03-09,Nifty 50,670,975,8914.50,8945.80,8899.50,8927.00,9905.01,7421725.0,27,17
2017-03-10,Nifty 50,654,973,8953.70,8975.70,8903.95,8934.55,8583.35,6755773.0,24,24
2017-03-14,Nifty 50,1047,616,9091.65,9122.75,9060.50,9087.00,12111.87,9848690.0,45,25
2017-03-15,Nifty 50,890,768,9086.85,9106.55,9075.50,9084.80,12294.85,8684022.0,33,27
2017-03-16,Nifty 50,1157,501,9129.65,9158.45,9128.55,9153.70,13559.34,9194777.0,44,18
2017-03-17,Nifty 50,711,961,9207.80,9218.40,9147.60,9160.05,14979.33,10190812.0,44,15
2017-03-20,Nifty 50,795,863,9166.95,9167.60,9116.30,9126.85,13008.07,7785112.0,40,24
2017-03-21,Nifty 50,588,1072,9133.95,9147.75,9087.20,9121.50,11898.47,9362417.0,40,21
2017-03-22,Nifty 50,477,1192,9047.20,9072.90,9019.30,9030.45,10889.31,9044569.0,29,21
2017-03-23,Nifty 50,1087,567,9048.75,9099.05,9048.60,9086.30,11536.72,8369919.0,36,21
2017-03-24,Nifty 50,798,838,9104.00,9133.55,9089.40,9108.00,13099.27,8405505.0,44,20
2017-03-27,Nifty 50,683,1001,9093.45,9094.85,9024.65,9045.20,11578.72,7617143.0,41,21
2017-03-28,Nifty 50,909,737,9081.50,9110.40,9079.80,9100.80,12563.76,7707879.0,55,15
2017-03-29,Nifty 50,704,971,9128.70,9153.15,9109.10,9143.80,14094.6,9108022.0,51,17
2017-03-30,Nifty 50,1076,556,9142.60,9183.15,9136.35,9173.75,19801.89,9835611.0,53,16
2017-03-31,Nifty 50,947,702,9158.90,9191.70,9152.10,9173.75,14360.85,9229464.0,62,9
2017-04-03,Nifty 50,1273,421,9220.60,9245.35,9192.40,9237.85,12064.45,7944233.0,86,8
2017-04-05,Nifty 50,1215,494,9264.40,9273.90,9215.40,9265.15,15241.41,11669771.0,95,3
2017-04-06,Nifty 50,791,895,9245.80,9267.95,9218.85,9261.95,13507.91,9052233.0,79,7
2017-04-07,Nifty 50,652,1048,9223.70,9250.50,9188.10,9198.30,14456.88,9613876.0,73,4
2017-04-10,Nifty 50,998,690,9225.60,9225.65,9174.85,9181.45,11699.5,8682968.0,71,13
2017-04-11,Nifty 50,1032,647,9184.55,9242.70,9172.85,9237.00,15042.09,9571433.0,80,9
2017-04-12,Nifty 50,591,1096,9242.50,9246.40,9161.80,9203.45,14764.42,9240945.0,62,12
2017-04-13,Nifty 50,798,879,9202.50,9202.65,9144.95,9150.80,11443.35,8277631.0,63,10
2017-04-17,Nifty 50,842,864,9144.75,9160.00,9120.25,9139.30,14190.03,7825826.0,60,15
2017-04-18,Nifty 50,580,1121,9163.00,9217.90,9095.45,9105.15,16608.6,9843910.0,71,10
2017-04-19,Nifty 50,944,734,9112.20,9120.50,9075.15,9103.50,12148.42,9342217.0,39,19
2017-04-20,Nifty 50,1130,543,9108.10,9143.90,9102.65,9136.40,12561.23,9211306.0,69,15
2017-04-21,Nifty 50,832,859,9179.10,9183.65,9088.75,9119.40,14556.67,9255291.0,66,11
2017-04-24,Nifty 50,988,697,9135.35,9225.40,9130.55,9217.95,14207.29,9079332.0,82,15
2017-04-25,Nifty 50,897,787,9273.05,9309.20,9250.35,9306.60,13893.64,10153444.0,90,8
2017-04-26,Nifty 50,496,1203,9336.20,9367.00,9301.35,9351.85,15100.08,10289067.0,72,12
2017-04-27,Nifty 50,727,937,9359.15,9367.15,9322.65,9342.15,13626.78,9148302.0,54,12
2017-04-28,Nifty 50,811,854,9340.95,9342.65,9282.25,9304.05,14147.6,9102413.0,47,17
2017-05-02,Nifty 50,769,932,9339.85,9352.55,9269.90,9313.80,13126.17,9974049.0,63,14
2017-05-03,Nifty 50,751,944,9344.70,9346.30,9298.40,9311.95,12810.47,8777155.0,53,11
2017-05-04,Nifty 50,863,825,9360.95,9365.65,9323.25,9359.90,13775.07,9492302.0,58,11
2017-05-05,Nifty 50,412,1277,9374.55,9377.10,9272.00,9285.30,14574.13,9807063.0,48,12
2017-05-08,Nifty 50,1020,650,9311.45,9338.70,9297.95,9314.05,10954.01,7839855.0,48,8
2017-05-09,Nifty 50,918,747,9337.35,9338.95,9307.70,9316.85,12362.45,8467836.0,50,13
2017-05-10,Nifty 50,1025,634,9339.65,9414.75,9336.00,9407.30,12015.77,8827912.0,57,7
2017-05-11,Nifty 50,678,991,9448.60,9450.65,9411.30,9422.40,11446.75,8984530.0,46,8
2017-05-12,Nifty 50,525,1162,9436.65,9437.75,9372.55,9400.90,10855.99,8952690.0,33,12
2017-05-15,Nifty 50,973,693,9433.55,9449.25,9423.10,9445.40,12665.26,8211651.0,53,16
2017-05-16,Nifty 50,878,806,9461.00,9517.20,9456.35,9512.25,13164.89,9216892.0,53,16
2017-05-17,Nifty 50,703,961,9517.60,9532.60,9486.10,9525.75,12271.23,9408054.0,54,8
2017-05-18,Nifty 50,317,1376,9453.20,9489.10,9418.10,9429.45,14008.53,8865727.0,32,15
2017-05-19,Nifty 50,545,1144,9469.90,9505.75,9390.75,9427.90,15081.1,10745015.0,31,21
2017-05-22,Nifty 50,497,1194,9480.25,9498.65,9427.90,9438.25,12009.14,8628819.0,29,24
2017-05-23,Nifty 50,286,1398,9445.05,9448.05,9370.00,9386.15,14214.72,10757910.0,19,39
2017-05-24,Nifty 50,339,1355,9410.90,9431.90,9341.65,9360.55,14052.02,10605349.0,8,45
2017-05-25,Nifty 50,1241,429,9384.05,9523.30,9379.20,9509.75,17584.56,10664615.0,21,35
2017-05-26,Nifty 50,1251,426,9507.75,9604.90,9495.40,9595.10,13900.27,9568425.0,32,22
2017-05-29,Nifty 50,462,1224,9560.05,9637.75,9547.70,9604.90,12985.58,9342097.0,44,25
2017-05-30,Nifty 50,768,894,9590.65,9635.30,9581.20,9624.55,13224.9,9033258.0,26,38
2017-05-31,Nifty 50,953,718,9636.55,9649.60,9609.25,9621.25,18098.85,13120797.0,43,32
2017-06-01,Nifty 50,935,736,9603.55,9634.65,9589.90,9616.10,11377.45,8779558.0,48,26
2017-06-02,Nifty 50,997,689,9657.15,9673.50,9637.45,9653.50,14524.93,8414510.0,54,22
2017-06-05,Nifty 50,934,748,9656.30,9687.20,9640.70,9675.10,10352.7,7950711.0,56,16
2017-06-06,Nifty 50,501,1161,9704.25,9709.30,9630.20,9637.15,9973.34,8252499.0,40,21
2017-06-07,Nifty 50,962,691,9663.95,9678.55,9630.55,9663.90,10118.81,8804152.0,44,25
2017-06-08,Nifty 50,836,825,9682.40,9688.70,9641.50,9647.25,9717.45,8228274.0,58,17
2017-06-09,Nifty 50,865,802,9638.55,9676.25,9608.15,9668.25,10061.06,8508291.0,49,20
2017-06-12,Nifty 50,572,1111,9646.70,9647.05,9598.50,9616.40,9726.08,7676640.0,55,20
2017-06-13,Nifty 50,849,834,9615.55,9654.15,9595.40,9606.90,11226.37,8229924.0,50,21
2017-06-14,Nifty 50,783,885,9621.55,9627.40,9580.45,9618.15,11874.87,8967081.0,54,26
2017-06-15,Nifty 50,835,844,9617.90,9621.40,9560.80,9578.05,12391.76,8811832.0,59,14
2017-06-16,Nifty 50,889,805,9595.45,9615.85,9565.50,9588.05,12575.56,9505700.0,53,16
2017-06-19,Nifty 50,736,953,9626.40,9673.30,9614.90,9657.55,9421.61,7725234.0,50,23
2017-06-20,Nifty 50,729,954,9670.50,9676.50,9643.75,9653.50,10239.52,8604906.0,46,31
2017-06-21,Nifty 50,832,847,9648.10,9650.45,9608.60,9633.60,11855.58,8673971.0,31,23
2017-06-22,Nifty 50,623,1051,9642.65,9698.85,9617.75,9630.00,15783.5,9285146.0,46,19
2017-06-23,Nifty 50,348,1340,9643.25,9647.65,9565.30,9574.95,13923.25,9069754.0,18,26
2017-06-27,Nifty 50,386,1309,9594.05,9615.40,9473.45,9511.40,14245.13,8962487.0,13,34
2017-06-28,Nifty 50,842,813,9520.20,9522.50,9474.35,9491.25,12837.57,8240880.0,21,33
2017-06-29,Nifty 50,1103,555,9522.95,9575.80,9493.80,9504.10,17830.39,8664859.0,19,12
2017-06-30,Nifty 50,831,827,9478.50,9535.80,9448.75,9520.90,14082.42,8813914.0,19,19
2017-07-03,Nifty 50,1193,482,9587.95,9624.00,9543.55,9615.00,12270.59,7761778.0,34,13
2017-07-04,Nifty 50,800,867,9645.90,9650.65,9595.50,9613.30,12468.46,7705414.0,36,7
2017-07-05,Nifty 50,1122,576,9619.75,9643.65,9607.35,9637.60,12757.29,7806685.0,44,12
2017-07-06,Nifty 50,976,722,9653.60,9700.70,9639.95,9674.55,15312.95,8946725.0,61,18
2017-07-07,Nifty 50,857,827,9670.35,9684.25,9642.65,9665.80,14985.9,8982000.0,39,11
2017-07-10,Nifty 50,949,674,9719.30,9782.15,9646.45,9771.05,3895.86,1896050.0,62,17
2017-07-11,Nifty 50,650,1041,9797.45,9830.05,9778.85,9786.05,14486.08,9742749.0,44,6
2017-07-12,Nifty 50,980,705,9807.30,9824.95,9787.70,9816.10,15050.39,9414760.0,37,12
2017-07-13,Nifty 50,846,846,9855.80,9897.25,9853.45,9891.70,14305.47,9782261.0,65,17
2017-07-14,Nifty 50,592,1111,9913.30,9913.30,9845.45,9886.35,14587.93,9594452.0,48,15
2017-07-17,Nifty 50,829,874,9908.15,9928.20,9894.70,9915.95,15359.73,8429170.0,51,14
2017-07-18,Nifty 50,601,1106,9832.70,9885.35,9792.05,9827.15,14677.62,9360641.0,35,7
2017-07-19,Nifty 50,1121,544,9855.95,9905.05,9851.65,9899.60,15103.58,9429756.0,32,8
2017-07-20,Nifty 50,782,903,9920.20,9922.55,9863.45,9873.30,13845.07,9081111.0,41,13
2017-07-21,Nifty 50,750,920,9899.60,9924.70,9838.00,9915.25,18352.73,9712846.0,45,10
2017-07-24,Nifty 50,819,875,9936.80,9982.05,9919.60,9966.40,19727.27,9187885.0,49,16
2017-07-25,Nifty 50,748,952,10010.55,10011.30,9949.10,9964.55,16435.19,9356368.0,37,9
2017-07-26,Nifty 50,848,842,9983.65,10025.95,9965.95,10020.65,21221.72,9285298.0,42,11
2017-07-27,Nifty 50,468,1227,10063.25,10114.85,10005.50,10020.55,21967.74,10148506.0,44,8
2017-07-28,Nifty 50,779,891,9996.55,10026.05,9944.50,10014.50,17174.43,9133158.0,26,17
2017-07-31,Nifty 50,809,891,10034.70,10085.90,10016.95,10077.10,14002.05,9090599.0,36,17
2017-08-01,Nifty 50,644,1044,10101.05,10128.60,10065.75,10114.65,11456.81,8536347.0,47,21
2017-08-02,Nifty 50,658,1045,10136.30,10137.85,10054.20,10081.50,13245.01,7932557.0,36,21
2017-08-03,Nifty 50,435,1246,10081.15,10081.15,9998.25,10013.65,14804.19,9287024.0,28,29
2017-08-04,Nifty 50,831,850,10008.60,10075.25,9988.35,10066.40,13235.54,8562438.0,30,27
2017-08-07,Nifty 50,1041,655,10074.80,10088.10,10046.35,10057.40,12879.84,8057458.0,48,29
2017-08-08,Nifty 50,344,1355,10068.35,10083.80,9947.00,9978.55,16471.06,9276119.0,51,24
2017-08-09,Nifty 50,328,1363,9961.15,9969.80,9893.05,9908.05,15587.62,9290450.0,25,45
2017-08-10,Nifty 50,187,1532,9872.85,9892.65,9776.20,9820.25,16307.76,10922646.0,13,76
2017-08-11,Nifty 50,631,1090,9712.15,9771.65,9685.55,9710.80,17720.84,11678223.0,13,106
2017-08-14,Nifty 50,1379,338,9755.75,9818.30,9752.10,9794.15,14118.23,9013070.0,23,36
2017-08-16,Nifty 50,1148,538,9825.85,9903.95,9773.85,9897.30,13571.5,9548320.0,26,22
2017-08-17,Nifty 50,923,726,9945.55,9947.80,9883.75,9904.15,12743.77,8870208.0,30,17
2017-08-18,Nifty 50,589,1102,9865.95,9865.95,9783.65,9837.40,12100.69,9695060.0,23,18
2017-08-21,Nifty 50,518,1197,9864.25,9884.35,9740.10,9754.35,10727.55,8424237.0,26,26
2017-08-22,Nifty 50,542,1132,9815.75,9828.45,9752.60,9765.55,11587.48,9104213.0,21,32
2017-08-23,Nifty 50,1125,556,9803.05,9857.90,9786.75,9852.50,11009.55,8244358.0,35,32
2017-08-24,Nifty 50,963,728,9881.20,9881.50,9848.85,9857.05,11380.89,8723799.0,32,21
2017-08-28,Nifty 50,1133,547,9907.15,9925.75,9882.00,9912.80,10925.89,9540350.0,44,30
2017-08-29,Nifty 50,479,1215,9886.40,9887.35,9783.75,9796.05,11818.51,8220631.0,32,21
2017-08-30,Nifty 50,1261,399,9859.50,9909.45,9850.80,9884.40,12327.89,8296602.0,44,15
2017-08-31,Nifty 50,1004,679,9905.70,9925.10,9856.95,9917.90,16369.4,10185492.0,53,8
2017-09-01,Nifty 50,1106,566,9937.65,9983.45,9909.85,9974.40,13555.29,9020029.0,62,13
2017-09-04,Nifty 50,581,1126,9984.15,9988.40,9861.00,9912.85,13033.84,8642400.0,50,15
2017-09-05,Nifty 50,1149,529,9933.25,9963.10,9901.05,9952.20,11537.01,8099824.0,65,7
2017-09-06,Nifty 50,854,835,9899.25,9931.55,9882.55,9916.20,13716.45,9014378.0,72,10
2017-09-07,Nifty 50,951,750,9945.85,9964.85,9917.20,9929.90,14144.05,9687674.0,75,5
2017-09-08,Nifty 50,692,1002,9958.65,9963.60,9913.30,9934.80,14055.37,9863908.0,70,8
2017-09-11,Nifty 50,923,779,9971.75,10028.65,9968.80,10006.05,13664.9,9172534.0,61,12
2017-09-12,Nifty 50,1010,688,10056.85,10097.55,10028.05,10093.05,14358.6,9893955.0,67,5
2017-09-13,Nifty 50,603,1081,10099.25,10131.95,10063.15,10079.30,15704.81,9769959.0,51,3
2017-09-14,Nifty 50,861,817,10107.40,10126.50,10070.35,10086.60,13433.78,9399225.0,33,8
2017-09-15,Nifty 50,690,991,10062.35,10115.15,10043.65,10085.40,16008.17,11347991.0,46,10
2017-09-18,Nifty 50,1042,666,10133.10,10171.70,10131.30,10153.10,14224.59,9661532.0,85,15
2017-09-19,Nifty 50,844,847,10175.60,10178.95,10129.95,10147.55,16075.71,9668454.0,72,10
